연번,소재지(시도),시군구,문화재명,방재시설(소방방범),방재시설업체명,담당자,업체연락처,관할소방서기관명,거리(KM),소방차도착시간(min),소방기관연락처
94,강원,강릉,강릉향교 동무서무전랑,소방,강원방재,김태형,033-648-3667,강릉소방서,1.4,3,033-645-0119
95,강원,강릉,강릉 칠사당,소방,강원방재,김태형,033-640-5118,강릉소방서(경포119안전센터),1.4,2,033-645-0119
96,강원,강릉,강릉대도호부 관아,소방,강원방재,김태형,033-640-5118,강릉소방서(경포119안전센터),1.4,2,033-645-0119
97,강원,강릉,강릉 선교장,소방,강원방재,김태형,033-648-5311,강릉소방서(경포119안전센터),1.4,2,033-645-0119
98,강원,고성,고성 건봉사지,,,,033-682-8100,고성소방서,11,16,033-681-1119
99,강원,고성,고성 어명기 고택,소방,보성소방,이진열,,고성소방서,11,16,033-681-1119
100,강원,고성,고성 왕곡마을,소방,보성소방,이진열,033-631-2120,고성소방서,10,11,033-681-1119
101,강원,삼척,삼척 죽서루,소방,중앙이에스엠,오진열,033-570-3251,삼척소방서(봉황119안전센터),1.8,6,033-572-9119
102,강원,삼척,삼척 신리 너와집과 민속유물,소방,중앙이에스엠,오진열,033-570-3251,삼척소방서(가곡119안전센터),33.9,1.11,033-572-9119
103,강원,삼척,삼척 대이리 너와집,소방,중앙이에스엠,오진열,,삼척소방서(신기119안전센터),8.8,15,033-572-9119
104,강원,삼척,삼척 대이리 굴피집,소방,중앙이에스엠,오진열,,삼척소방서(신기119안전센터),8.8,15,033-572-9119
105,강원,속초,속초 신흥사 극락보전,소방,보성소방,김정희,033-636-7044,속초소방서(설악119안전센터),3.1,5,033-630-2510
106,강원,양양,양양 낙산사 일원,소방,보성소방,김정희,033-672-2447,양양소방서(강현119안전센터),6,10,033-671-2119
107,강원,영월,영월 창절사,,,,033-373-3113,영월소방서(영월119안전센터),1.7,5,033-374-2119
108,강원,영월,영월 장릉,소방,우리방재,성명진,,영월소방서(영월119안전센터),1.2,2,033-374-2119
109,강원,영월,영월부 관아,소방,우리방재,성명진,033-374-3169,영월소방서(영월119안전센터),1.7,4,033-374-2119
110,강원,원주,원주 강원감영 선화당,소방,원주방재,남재웅,033-737-2794,원주소방서(학성119안전센터),0.9,3,033-732-4119
111,강원,원주,원주 강원감영,소방,원주방재,남재웅,033-737-2794,원주소방서(학성119안전센터),0.9,3,033-732-4119
112,강원,춘천,춘천 청평사 회전문,소방,도강방재,김오규,033-244-1095,춘천소방서(신북119안전센터),21,30,033-248-9560
113,강원,평창,평창 오대산 중대 적멸보궁,,,,033-339-6617,평창소방서(진부119안전센터),20.6,62,033-339-8521
114,강원,평창,평창 오대산사고,,,,033-339-6617,평창소방서(진부119안전센터),16.3,30,033-339-8521
115,충북,괴산,괴산 송시열 유적,소방,신영방재,김진기,043-830-3430,청천면119안전센터,8.9,10,043-760-0235
116,충북,괴산,괴산 김항묵 고택,소방,신영방재,김진기,,괴산119안전센터,7.4,9,043-760-0214
117,충북,괴산,괴산 송병일 고택,소방,신영방재,김진기,043-832-4062,청천면119안전센터,0.92,3,043-760-0235
118,충북,단양,단양 조덕수 고택,소방,서원소방,유석진,,단양119안전센터,5.2,7,043-767-4215
119,충북,보은,보은 법주사 팔상전,소방,지엠방재산업㈜,최상훈,043-543-3615,속리산119안전센터,0.2,2,043-773-0235
120,충북,보은,보은 법주사 대웅보전,소방,지엠방재산업㈜,최상훈,043-543-3615,속리산119안전센터,0.2,2,043-773-0235
121,충북,보은,보은 법주사 원통보전,소방,지엠방재산업㈜,최상훈,043-543-3615,속리산119안전센터,0.2,2,043-773-0235
122,충북,보은,보은 법주사,소방,지엠방재산업㈜,최상훈,043-543-3615,속리산119안전센터,0.2,2,043-773-0235
123,충북,보은,보은 우당고택,소방,지엠방재산업㈜,최상훈,,속리산119안전센터,9.5,14,043-773-0235
124,충북,보은,보은 최감찰댁,소방,지엠방재산업㈜,최상훈,,보은소방서 119안전센터,5.8,8,043-773-0218
125,충북,영동,영동 세천재,소방,토광방재안전관리,이민재,,황간119안전센터,10,14,043-740-7146
126,충북,영동,영동 소석고택,소방,토광방재안전관리,이민재,02-735-9010,영동119안전센터,11,17,043-740-7110
127,충북,영동,영동 규당고택,소방,토광방재안전관리,이민재,02-735-9010,영동119안전센터,3.3,8,043-740-7110
128,충북,영동,영동 김참판댁,소방,토광방재안전관리,이민재,,영동119안전센터,11,14,043-740-7110
129,충북,영동,영동 성장환 고택,소방,토광방재안전관리,이민재,,영동119안전센터,5.3,7,043-740-7110
130,충북,옥천,옥천 이지당,소방,한빛소방㈜,이종근,,옥천119안전센터,6,8,043-730-1904
131,충북,음성,음성 잿말 고택,소방,신영방재,김진기,,감곡119안전센터,3.7,11,043-881-3119
132,충북,음성,음성 공산정 고택,소방,신영방재,김진기,,감곡119안전센터,4,14,043-881-3119
133,충북,제천,제천 청풍 한벽루,소방,(주)중앙방재,장기승,043-641-5531,청풍119안전센터,0.6,3,043-648-0119
134,충북,제천,제천 박용원 고택,소방,(주)중앙방재,장기승,043-652-2046,청풍119안전센터,11.5,17,043-648-0119
135,충북,제천,제천 정원태 고택,소방,(주)중앙방재,장기승,,청풍119안전센터,14.4,21,043-648-0119
136,충북,진천,진천 김유신 탄생지와 태실,소방,가람방재,김완중,043-539-3623,진천소방서,8,10,043-539-8183
137,충북,청주,청주 안심사 대웅전,소방,신영방재,남호신,043-260-6165,남이119안전센터,8.82,26,043-249-9867
138,충북,청주,청주 흥덕사지,소방,태일방재,안효빈,043-201-4272,사직119안전센터,1.2,5,043-249-9852
139,충북,청주,청주 고은리 고택,소방,신영방재,남호신,,동부소방서,7.9,18,043-251-0119
140,충북,충주,충주 임충민공 충렬사,소방,중앙방재㈜,서귀덕,043-850-5983,충주소방서 호암119안전센터,4.2,9,043-841-3341
141,충북,충주,충주 윤양계 고택,소방,중앙방재㈜,서귀덕,,충주소방서,12,18,043-841-3225
142,충남,공주,공주 마곡사 영산전,소방,㈜고려소방산업,배병찬,041-841-6221,유구119안전센터,14.9,25,041-851-0362
143,충남,공주,공주 마곡사 대웅보전,소방,㈜고려소방산업,배병찬,041-841-6221,유구119안전센터,14.9,25,041-851-0362
144,충남,공주,공주 마곡사 대광보전,소방,㈜고려소방산업,배병찬,041-841-6221,유구119안전센터,14.9,25,041-851-0362
145,충남,공주,공주 계룡산 중악단,소방,㈜고려소방산업,배병찬,041-852-4230,계룡119안전센터,7.5,16,041-851-0422
146,충남,공주,공주 갑사 대웅전,소방,㈜고려소방산업,배병찬,041-857-8981,계룡119안전센터,5.46,13,041-851-0422
147,충남,논산,논산 쌍계사 대웅전,소방,경원소방,전남기,041-741-2255,연산119안전센터,6,10,041-730-0422
148,충남,논산,논산 돈암서원 응도당,소방,경원소방,전남기,041-736-0096,연산119안전센터,1.1,6,041-730-0422
149,충남,논산,논산 노강서원 강당,소방,경원소방,전남기,041-732-4349,반월119안전센터,7.4,11,041-730-0402
150,충남,논산,논산 돈암서원,소방,경원소방,전남기,041-736-0096,연산119안전센터,1.1,6,041-730-0422
151,충남,논산,논산 노강서원,소방,경원소방,전남기,041-732-4349,반월119안전센터,7.4,11,041-730-0402
152,충남,논산,논산 명재고택,소방,경원소방,전남기,,반월119안전센터,12,14,041-730-0402
153,충남,논산,논산 백일헌 종택,소방,경원소방,전남기,,반월119안전센터,12,13,041-730-0402
154,충남,당진,당진 솔뫼마을 김대건신부 유적,,공단소방,김대용,044-270-3000,합덕119안전센터,2.4,3,041-350-5382
155,충남,보령,보령 충청수영성,소방,㈜해냄소방,장혁,041-930-6584,오천119안전센터,0.1,3,041-930-0402
156,충남,부여,부여 무량사 극락전,소방,네오방재,김영규,041-836-5066,외산119안전센터,1.83,5,041-830-0422
157,충남,부여,부여 홍산현 관아,소방,네오방재,김영규,041-830-2638,홍산119안전센터,0.5,5,041-830-0382
158,충남,부여,부여 여흥민씨 고택,소방,네오방재,김영규,041-830-2638,사비119안전센터,3.4,5,041-830-0362
159,충남,부여,부여 군수리 고택,소방,네오방재,김영규,041-832-7780,사비119안전센터,5.6,8,041-830-0362
160,충남,서산,서산 개심사 대웅전,소방,중앙소방기술사사무소,만윤호,041-688-2256,해미119안전센터,8.8,12,041-688-2119
161,충남,서산,서산 해미읍성,소방,중앙소방기술사사무소,만윤호,041-661-8003,해미119안전센터,0.7,2,041-688-2119
162,충남,서산,서산 경주김씨 고택,소방,중앙소방기술사사무소,만윤호,,해미119안전센터,4.7,6,041-688-2119
163,충남,서천,서천 이하복 고택,소방,보광소방방재,박헌용,,한산소방서,5.7,7,041-955-0422
164,충남,아산,아산 맹씨 행단,소방,동국방재,임승묵,,배방119안전센터,5.5,10,041-538-0422
165,충남,아산,아산 용궁댁,소방,동국방재,임승묵,,신창119안전센터,8.2,10,041-544-1193
166,충남,아산,아산 외암마을 참판댁,소방,㈜거명소방전기,박영호,,모종119안전센터,8.6,10,041-538-0263
167,충남,아산,아산 윤보선 대통령 생가,소방,동국방재,임승묵,02-735-0826,둔포119안전센터,6.1,9,041-538-0362
168,충남,아산,아산 외암마을 건재고택,소방,㈜거명소방전기,박영호,041-536-8772,모종119안전센터,8.6,10,041-538-0263
169,충남,아산,아산 외암마을,소방,㈜거명소방전기,박영호,,모종119안전센터,8.6,10,041-538-0263
170,충남,예산,예산 수덕사 대웅전,소방,삼원소방,조강산,041-330-7709,덕산119안전센터,8.9,10,041-330-4402
171,충남,예산,예산 윤봉길 의사 유적,소방,삼원소방,김서길,041-339-8232,덕산119안전센터,4,6,041-330-4402
172,충남,예산,예산 오추리 고택,소방,삼원소방,조강산,02-588-3892,덕산119안전센터,10,13,041-330-4402
173,충남,예산,예산 수당고택,소방,삼원소방,조강산,041-331-4411,금오119안전센터,14,17,041-330-4365
174,충남,천안,천안 유관순 열사 유적,소방,천둥방재소방,이재영,041-521-2825,병천119안전센터,6,5,041-570-0383
175,충남,청양,청양 장곡사 상 대웅전,소방,한솔방재,임현수,041-942-6769,청양소방서,10,15,041-940-7302
176,충남,청양,청양 장곡사 하 대웅전,소방,한솔방재,임현수,041-942-6769,청양소방서,10,15,041-940-7302
177,충남,홍성,홍성 고산사 대웅전,소방,한국소방방재,박완준,041-642-8254,광천119안전센터,12.5,20,041-642-0119
178,충남,홍성,홍성 홍주의사총,소방,한국소방방재,박완준,041-630-1696,옥암119안전센터,2.8,5,041-630-0360
179,충남,홍성,홍성 사운고택,소방,한국소방방재,박완준,041-642-6065,광천119안전센터,15,20,041-630-0388
180,충남,홍성,홍성 노은리 고택,소방,한국소방방재,박완준,041-630-1696,내포119안전센터,8.4,13,041-630-0420
181,전북,고창,고창 선운사 대웅전,소방,㈜일진소방,이용정,063-561-1422,고창소방서,15,15,063-560-1250
182,전북,고창,고창 선운사 참당암 대웅전,소방,㈜일진소방,이용정,063-563-3440,고창소방서,25,25,063-560-1250
183,전북,고창,고창 선운사 만세루,소방,㈜일진소방,이용정,063-561-1422,고창소방서,15,15,063-560-1250
184,전북,고창,고창읍성,소방,㈜일진소방,이용정,063-560-2944,고창소방서,1.5,5,063-560-1250
185,전북,고창,고창 무장현 관아와 읍성,소방,㈜일진소방,이용정,063-560-2944,무장소방서,0.5,5,063-560-1250
186,전북,고창,고창 신재효 고택,소방,㈜일진소방,이용정,063-560-2944,고창소방서,1.6,3,063-560-1250
187,전북,김제,김제 금산사 미륵전,소방,나라소방,정근형,063-548-4441,김제소방서(금산119안전센터),8,10,063-540-4284
188,전북,김제,김제 귀신사 대적광전,소방,나라소방,정근형,063-548-0917,김제소방서(금산119안전센터),8,10,063-540-4284
189,전북,김제,김제 금산사 대장전,소방,나라소방,정근형,063-548-4441,김제소방서(금산119안전센터),8,10,063-540-4284
190,전북,김제,김제 내아,소방,나라소방,정근형,063-540-3884,김제소방서,2,5,063-540-4272
191,전북,김제,김제군 관아와 향교,소방,나라소방,정근형,063-540-3884,김제소방서,2,5,063-540-4272
192,전북,김제,김제 금산사 일원,소방,나라소방,정근형,063-548-4441,김제소방서(금산119안전센터),8,10,063-540-4284
193,전북,남원,남원 광한루,소방,가나소방E&C(유),이찬영,063-620-8900,남원용성119지역대,1.7,4,063-630-8252
194,전북,남원,남원 실상사,소방,(유)KS소방,우한식,063-636-3031,인월119안전센터,8.5,10,063-636-5119
195,전북,남원,남원 몽심재 고택,소방,(유)KS소방,우한식,063-850-3262,수지119지역대,0.5,2,063-635-2119
196,전북,무주,무주 한풍루,소방,우리소방,김영희,063-320-2542,장수소방서(무주119안전센터),0.7,5,063-322-2121
197,전북,부안,부안 내소사 대웅보전,소방,천일이엔지,노인래,063-583-7282,부안119안전센터,27,30,053-580-1204
198,전북,부안,부안 개암사 대웅전,소방,천일이엔지,노인래,063-583-3871,부안119안전센터,12.5,20,053-580-1204
199,전북,부안,부안 김상만 고택,소방,천일이엔지,노인래,02-2020-0194,부안119안전센터,18,22,053-580-1204
200,전북,완주,완주 화암사 극락전,소방,(유)대한방재기술,김인호,063-261-7576,완주소방서(고산119안전센터),15,20,063-290-0274
201,전북,완주,완주 위봉사 보광명전,소방,(유)대한방재기술,김인호,063-243-7657,완주소방서(소양지역대),9.5,15,063-290-0291
202,전북,완주,완주 화암사 우화루,소방,(유)대한방재기술,김인호,063-261-7576,완주소방서(고산119안전센터),15,20,063-290-0274
203,전북,완주,완주 송광사 대웅전,소방,(유)대한방재기술,김인호,063-243-8091,완주소방서(소양지역대),4,10,063-290-0291
204,전북,완주,완주 송광사 종루,소방,(유)대한방재기술,김인호,063-243-8091,완주소방서(소양지역대),4,10,063-290-0291
205,전북,익산,익산 숭림사 보광전,소방,(주)지오방재,장영철,063-862-6394,익산소방서 함라지역대,4.1,5,063-856-3119
206,전북,익산,익산 김병순 고택,소방,(주)지오방재,장영철,,익산소방서 함라지역대,1.3,2,063-856-3119
207,전북,장수,장수향교 대성전,소방,(주)삼성방재,김광빈,,장수소방서(장수119안전센터),1.5,3,063-351-9119
208,전북,전주,전주 풍남문,소방,(유)대한방재기술,김인호,,교동119센터,0.5,4,063-284-0119
209,전북,전주,전주 풍패지관,소방,(유)대한방재기술,김인호,,교동119센터,1,5,063-284-0119
210,전북,전주,전주 경기전 정전,소방,(유)대한방재기술,김인호,,교동119센터,0.5,5,063-284-0119
211,전북,전주,전주 조경묘 정묘,소방,(유)대한방재기술,김인호,,교동119센터,0.5,5,063-284-0119
212,전북,전주,전주 경기전,소방,(유)대한방재기술,김인호,,교동119센터,0.5,4,063-284-0119
213,전북,전주,전주향교,소방,(유)대한방재기술,김인호,,교동119센터,1.2,6,063-284-0119
214,전북,정읍,정읍 피향정,소방,(유)일진소방,지경태,063-539-6932,정읍소방서 태인119지역대,1.2,3,063-570-1293
215,전북,정읍,정읍 무성서원,소방,(유)일진소방,지경태,,정읍소방서 칠보119안전센터,1.7,4,063-570-1276
216,전북,정읍,정읍 황토현 전적,소방,(유)일진소방,지경태,063-539-6921,정읍소방서 영원119안전센터,5.7,6,063-570-1275
217,전북,정읍,정읍 김명관 고택,소방,(유)일진소방,지경태,063-539-6932,정읍소방서 칠보119안전센터,5.4,6,063-570-1276
218,전북,진안,진안 수선루,소방,(유)전국소방안전,이지현,,진안소방서(마령119안전센터),3.6,7,063-350-5283
219,전남,강진,강진 무위사 극락보전,소방,㈜덕양,이연정,061-432-4974,성전119지역대,6,10,061-430-0974
220,전남,강진,강진 해남윤씨 추원당,소방,㈜덕양,이연정,,도암119지역대,3.5,10,061-430-0972
221,전남,강진,강진 해남윤씨 영모당,소방,㈜덕양,이연정,,도암119지역대,3.5,10,061-430-0972
222,전남,강진,강진 백련사 대웅보전,,,,,,,,
223,전남,강진,강진 정약용 유적,소방,㈜덕양,이연정,061-430-3363,도암119지역대,3.5,10,061-430-0972
224,전남,강진,강진 영랑 생가,소방,㈜덕양,이연정,061-430-3363,강진소방서,1.5,5,061-430-0900
225,전남,고흥,고흥 능가사 대웅전,소방,㈜삼성소방공사,장수환,061-832-8090,고흥소방서,21,25,061-840-0900
226,전남,고흥,고흥 여산송씨 쌍충 정려각,,,,,고흥소방서,33,30,061-840-0900
227,전남,곡성,곡성 제호정 고택,,,,,옥과119안전센터,11,16,061-380-0931
228,전남,구례,구례 화엄사 각황전,소방,세기방재㈜,정찬명,061-783-7600,순천소방서(구례119안전센터),7.5,11,061-750-0946
